,start_station_name,value
1583,W 21 St & 6 Ave,10601
8,1 Ave & E 68 St,9697
495,Broadway & W 58 St,9008
1713,West St & Chambers St,8891
286,6 Ave & W 33 St,8395
1507,University Pl & E 14 St,7796
485,Broadway & W 25 St,7736
461,Broadway & E 14 St,7734
463,Broadway & E 21 St,7702
788,E 33 St & 1 Ave,7676
1599,W 31 St & 7 Ave,7220
964,Grand Army Plaza & Central Park S,6990
328,8 Ave & W 33 St,6838
796,E 40 St & Park Ave,6794
590,Cleveland Pl & Spring St,6791
337,9 Ave & W 22 St,6731
24,11 Ave & W 41 St,6707
1104,Lafayette St & E 8 St,6599
1619,W 41 St & 8 Ave,6581
287,6 Ave & W 34 St,6558
